,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
657,4,12,1,20,13.0,8,0.019625,0.0005,0.019125,3,3,15,8,36.625,545.625,9.0
658,4,12,1,20,9.0,7,0.00028571428571428574,0.00028571428571428574,0.0,2,3,6,2,39.42857142857143,273.0,9.0
659,4,12,1,20,17.0,8,0.404,0.0005,0.4035,5,3,20,1,242.875,990.0,5.0
660,4,12,1,20,24.0,7,9.133285714285714,0.00042857142857142855,9.132857142857143,5,2,15,2,137.0,637.7142857142857,5.0
661,4,12,1,20,16.0,7,0.6235714285714286,0.00042857142857142855,0.6231428571428571,4,2,17,5,50.142857142857146,700.5714285714286,8.0
662,4,12,1,20,20.0,7,952.1005714285715,0.0005714285714285715,952.1,5,2,16,2,138.71428571428572,316.57142857142856,5.0
663,4,12,1,20,17.5,8,0.121125,0.00025,0.120875,4,3,16,4,97.25,597.75,6.0
664,4,12,1,20,13.0,8,0.004875,0.0005,0.004375,3,3,16,6,48.5,681.375,7.0
665,4,12,1,20,8.0,5,0.6324,0.0004,0.632,3,2,16,2,37.6,532.0,7.0
666,4,12,1,20,39.0,7,0.0025714285714285713,0.00042857142857142855,0.002142857142857143,3,2,19,13,61.0,264.0,4.0
667,4,12,1,20,9.5,5,0.0006,0.0004,0.0002,2,2,13,3,17.4,324.4,10.0
668,4,12,1,20,8.0,6,0.005333333333333333,0.0005,0.004833333333333334,3,3,20,2,40.166666666666664,963.0,10.0
669,4,12,1,20,34.0,7,0.00042857142857142855,0.00028571428571428574,0.00014285714285714287,2,2,17,1,15.285714285714286,160.0,11.0
670,4,12,1,20,38.0,7,0.00042857142857142855,0.00042857142857142855,0.0,2,2,19,10,27.857142857142858,217.71428571428572,7.0
671,4,12,1,20,34.5,7,0.6382857142857142,0.00042857142857142855,0.6378571428571429,5,2,20,6,172.28571428571428,354.0,3.0
672,4,12,1,20,0.0,1,0.0,0.0,0.0,5,1,20,4,159.0,414.0,6.0
673,4,12,1,20,32.0,7,0.0005714285714285715,0.00042857142857142855,0.00014285714285714287,2,2,17,8,31.428571428571427,322.0,7.0
674,4,12,1,20,7.0,6,0.0003333333333333333,0.0003333333333333333,0.0,2,3,14,1,37.166666666666664,750.0,10.0
675,4,12,1,20,8.33333,8,0.003625,0.000375,0.00325,3,4,9,3,69.125,553.5,8.0
676,4,12,1,20,17.5,7,0.24914285714285714,0.00042857142857142855,0.24871428571428572,5,3,15,1,181.85714285714286,757.2857142857143,5.0
677,4,12,1,20,15.0,6,0.005666666666666667,0.00016666666666666666,0.0055,2,1,5,4,14.166666666666666,76.16666666666667,9.0
678,4,12,1,20,21.0,6,820.8896666666667,0.0003333333333333333,820.8893333333333,4,1,14,1,63.5,250.0,5.0
679,4,12,1,20,25.0,7,0.7612857142857142,0.00042857142857142855,0.7608571428571429,4,2,19,3,98.28571428571429,281.14285714285717,6.0
680,4,12,1,20,29.0,6,0.0011666666666666668,0.0003333333333333333,0.0008333333333333334,2,1,11,7,15.833333333333334,106.33333333333333,7.0
681,4,12,1,20,10.0,6,0.00016666666666666666,0.00016666666666666666,0.0,2,3,14,5,19.0,359.5,11.0
682,4,12,1,20,30.0,7,1311.6332857142856,0.0005714285714285715,1311.6327142857142,4,1,15,1,45.142857142857146,140.57142857142858,7.0
